Explore_Iteration	MacroPopSize	MicroPopSize	Accuracy_Estimate	AveGenerality	ExpRules	Time(min)
64	19	22	0.640625	0.5606060606060606	0.0002335508664449056
128	30	37	0.734375	0.5225225225225224	0.0003834406534830729
192	42	55	0.8125	0.5272727272727274	0.0005342443784077962
256	49	68	0.765625	0.5318627450980392	0.0007170716921488444
320	56	78	0.796875	0.5213675213675213	0.0009006142616271972
384	72	102	0.859375	0.5375816993464052	0.0011508266131083171
448	83	124	0.890625	0.5376344086021506	0.0014177481333414713
512	90	142	0.859375	0.545774647887324	0.0017180601755777995
576	98	162	0.90625	0.5462962962962962	0.0020520607630411785
640	110	182	0.90625	0.5439560439560438	0.0024023890495300294
704	120	206	0.96875	0.5485436893203881	0.0027862548828125
768	127	230	0.984375	0.5413043478260867	0.0032031695048014325
832	122	242	0.96875	0.5626721763085399	0.0036035656929016115
896	124	260	0.96875	0.5641025641025642	0.004020623366038005
960	128	274	1.0	0.564476885644769	0.004437696933746338
1024	135	290	1.0	0.5626436781609198	0.004887708028157552
1088	139	310	1.0	0.563440860215054	0.00533827543258667
1152	141	324	1.0	0.5637860082304529	0.005789021650950114
1216	143	346	1.0	0.5645472061657034	0.00625612735748291
1280	146	360	1.0	0.5643518518518521	0.0067232092221577965
1344	149	382	1.0	0.5654450261780106	0.0072069923082987465
1408	154	402	1.0	0.5679933665008294	0.007674209276835124
1472	156	416	1.0	0.5673076923076925	0.00812453826268514
1536	161	438	1.0	0.5677321156773213	0.008575010299682616
1600	166	458	1.0	0.5665938864628822	0.009058411916097004
1664	168	478	1.0	0.5641562064156207	0.009542560577392578
1728	171	494	1.0	0.5637651821862351	0.010026387373606364
1792	174	512	1.0	0.5634765625000001	0.010510154565175374
1856	178	526	1.0	0.5633713561470216	0.011010634899139404
1920	180	540	1.0	0.5641975308641974	0.011511115233103435
1984	183	564	1.0	0.5638297872340425	0.01201166311899821
2048	186	586	1.0	0.5651308304891921	0.012545502185821534
2112	187	606	1.0	0.5657315731573155	0.0130622665087382
2176	192	626	1.0	0.5654952076677313	0.01359651486078898
2240	195	644	1.0	0.564182194616977	0.014146637916564942
2304	198	662	1.0	0.5636958710976836	0.014847707748413087
2368	200	682	1.0	0.5640273704789832	0.015464921792348226
2432	204	704	1.0	0.5639204545454544	0.016115442911783854
2496	207	720	1.0	0.5643518518518518	0.016749127705891927
2560	210	740	1.0	0.5637387387387386	0.017400117715199788
2624	214	762	1.0	0.5629921259842517	0.018017077445983888
2688	218	782	1.0	0.5626598465473144	0.01861759026845296
2752	218	802	1.0	0.5619285120532002	0.0192352294921875
2816	220	828	1.0	0.5613929146537838	0.019852666060129802
2880	229	848	1.0	0.5607311320754715	0.020503103733062744
2944	234	864	1.0	0.560378086419753	0.021170421441396078
3008	237	886	1.0	0.5600075244544769	0.02183770736058553
3072	239	902	1.0	0.559682187730968	0.022505009174346925
3136	241	916	1.0	0.5598617176128092	0.02325577735900879
3200	244	936	1.0	0.5585826210826211	0.023989808559417725
3264	245	954	1.0	0.5581761006289307	0.024773895740509033
3328	249	972	1.0	0.5576131687242798	0.025524564584096274
3392	252	994	1.0	0.5570087189805502	0.02660895586013794
3456	253	1000	1.0	0.5565000000000002	0.027443075180053712
3520	250	1000	1.0	0.5571666666666668	0.028577534357706706
3584	245	1000	1.0	0.5563333333333332	0.029528466860453288
3648	244	1000	1.0	0.5551666666666666	0.030562623341878255
3712	243	1000	1.0	0.5543333333333332	0.03134671449661255
3776	239	1000	1.0	0.5531666666666669	0.03219726085662842
