Explore_Iteration	PopSize	AveGenerality
1	1	0.5
2	2	0.5833333333333333
3	3	0.49999999999999994
4	4	0.45833333333333326
5	4	0.45833333333333326
6	5	0.4333333333333333
7	6	0.4444444444444444
8	6	0.4444444444444444
9	6	0.4444444444444444
10	7	0.42857142857142855
11	8	0.4583333333333333
12	8	0.4583333333333333
13	9	0.4259259259259259
14	9	0.4259259259259259
15	10	0.4666666666666666
16	10	0.4666666666666666
17	11	0.46969696969696967
18	11	0.46969696969696967
19	11	0.46969696969696967
20	12	0.4444444444444444
21	12	0.4444444444444444
22	12	0.4444444444444444
23	12	0.4444444444444444
24	12	0.4444444444444444
25	12	0.4444444444444444
26	12	0.4444444444444444
27	13	0.4230769230769231
28	13	0.4230769230769231
29	14	0.4523809523809524
30	14	0.4523809523809524
31	14	0.4523809523809524
32	14	0.4523809523809524
33	14	0.4523809523809524
34	15	0.4444444444444444
35	15	0.4444444444444444
36	15	0.4444444444444444
37	15	0.4444444444444444
38	15	0.4444444444444444
39	16	0.43749999999999994
40	16	0.43749999999999994
41	17	0.4411764705882352
42	17	0.4411764705882352
43	18	0.4351851851851851
44	18	0.4351851851851851
45	18	0.4351851851851851
46	18	0.4351851851851851
47	18	0.4351851851851851
48	18	0.4351851851851851
49	18	0.4351851851851851
50	18	0.4351851851851851
51	18	0.4351851851851851
52	18	0.4351851851851851
53	19	0.45614035087719296
54	19	0.45614035087719296
55	19	0.45614035087719296
56	19	0.45614035087719296
57	19	0.45614035087719296
58	19	0.45614035087719296
59	20	0.475
60	20	0.475
61	20	0.475
62	20	0.475
63	20	0.475
64	20	0.475
